raw,potential,counts
west 72th street,w 72nd street,160
w54 street,w 54th street,158
east 89th str ave r,e 89th street,157
waverley place,waverly place,157
west 30th,w 30th street,157
greenrich str,greenwich street,155
madison str,madison street,154
west fifty 3rd,w 53rd street,154
lenox ave,lexington avenue,154
east 23rd st lodging house,e 23rd street,153
mc dougal,mac dougal street,153
crove street,grove street,150
west 46,w 46th street,150
east 119st street,e 119th street,150
hester ste,hester street,150
ridge str,ridge street,150
suffork,suffolk street,150
w57 street,w 57th street,150
bantas street,?,150
twenty frist street,21st street,150
23rd street east,e 23rd street,150
east 12 2nd street,e 122nd street,150
pledger street,?,150
18 street between 7  8 ave,18th street,150
east twenty 1st street,e 21st street,150
st vincents hospital 11th st 7th ave,11th street,150
king str,king street,150
judson hotel washington square south,?,150
clary street,?,150
moll street,?,150
east 118th,e 118th street,150
east twenty7th street,e 27th street,150
east 123nd street,e 123rd street,150
leroy strret,leroy street,150
garter street,?,150
west elsworth street,worth street,150
e 8th st st marko pl,e 8th street,150
at 10 street,10th street,150
cloe b,?,150
east one hundred and nineteen street,e 119th street,150
twenty 6th street,26th street,150
jast 71 street,71st street,150
avenueb,avenue b,150
east 116 st bebra 1st and pled out ares,e 116th street,150
broomes street,broome street,150
jane ave,jane street,150
east 10th,e 10th street,150
e 123 str,e 123rd street,150
west fighteenth street,w 15th street,150
frist aveneu,1st avenue,149
west thirty 5th street,w 35th street,149
madcem street,?,148
west fifty 6th street,w 56th street,148
continued,?,148
e 8th street st marks pl,e 8th street,147
w 15,w 15th street,147
east 117 st between 1st  2nd ave,e 117th street,147
west forty4th street,w 44th street,147
roosevlt street,roosevelt street,146
delauney street,delancey street,145
huikahi street,?,144
oliver street oliver street oliver street,oliver street,142
north street,?,142
east 22d street,e 22nd street,142
charles str,charles street,142
w 22d street,w 22nd street,141
macdougal,mac dougal street,141
louis street,lewis street,141
east firth street,e 5th street,141
small boat,?,141
eight ave,8th avenue,140
west fiftieth street,w 50th street,140
west 38 av,w 38th street,138
master street,?,137
ganzevoort street,gansevoort street,135
gans everst street,gansevoort street,135
east ut,east street,134
east sixty 1st street,e 61st street,133
north moore street,moore street,133
west 22d street,w 22nd street,133
west 5theth street,w 5th street,132
w 16,w 16th street,132
3rd aveenue,3rd avenue,132
greenich street,greenwich street,132
46,46th street,131
east 74th,e 74th street,129
e 109,e 109th street,129
10ave,10th avenue,128
w55 street,w 55th street,128
w34 street,w 34th street,128
greewich street,greenwich street,126
34th st west,w 34th street,125
west 72d street,w 72nd street,125
elnestpher street,?,123
cooper square,?,123
eigth ave,"8th avenue, 7th avenue, 6th avenue, 4th avenue, 5th avenu",122
east 120st street,e 120th street,122
washingtion street,washington street,122
hudson str,hudson street,120
cherry str,cherry street,119
at 10th street,10th street,118
west thirty3rd street,w 33rd street,118
willet,willett street,116
e 81,e 81st street,116
barron street,barrow street,115
christoper street,christopher street,115
9ave,9th avenue,115
gans roost street,?,115
dowing,downing street,115
mulbery,mulberry street,115
fust street,?,115
west forty 7th 47 street,w 47th street,114
30 st north side,30th street,114
west fifty 1st street,w 51st street,114
comeau,?,113
mas dong al street,?,112
st marks pl,saint marks place,111
fiant arlane,?,110
west 8 street,w 8th street,110
jefferson str,jefferson street,110
76th east,76th street,109
3d avenue,3rd avenue,109
domenick street,dominick street,109
brooms street,broome street,107
greenoch street,greenwich street,107
3 james street,james street,106
broom,broome street,105
davision street,division street,105
north 5th ave west broadway,5th avenue,105
11th street and 7th ave,11th street,105
rutgers st lip,rutgers street,104
east eighty4th street,e 84th street,104
pery street,perry street,104
84,84th street,104
3rd aue,3rd avenue,104
e 86th str,e 86th street,103
vauche street,?,103
new chamber street,chambers street,102
east 9th str,e 9th street,102
greek street,?,102
2nd ave  e 9th street,e 9th street,101
e 115,e 115th street,101
