,Unnamed: 0.1,Unnamed: 0.1.1,ID,YR,DIR,PG,TYPE,NAME,ADDY,BOROUGH,CITY,STATE,HOUSENO,STNAME,STNAME.1,STNAME.2,ST_PREFIX,ST_SUFFIX,AdrMod,STNAME.3,STNAME.4,last_name,census_match_full,census_match_1,census_match_1p,first_name,census_match_full_2,census_match_2,census_match_2p,addresses,Coordinates,Lat,Lon
472,479,10979,2263,1910,Trow,826.0,Restaurant,Oakes William,65 W 67 St.  ,Manhattan,New York,New York,65,W,67,St.,,,65 W 67 St.  ,,,Oakes,"Counter({'Maine': 0.49, 'New York': 0.45, 'New Hampshire': 0.39, 'Pennsylvania': 0.24, 'Germany': 0.2, 'England': 0.17})",Maine,0.49,William,,,,W 67 St. 65,"(nan, nan)",,
473,483,10983,2267,1910,Trow,826.0,Restaurant,O'Brien Annie,503 W 22 St.  ,Manhattan,New York,New York,503,W,22,St.,,,503 W 22 St.  ,,,O'Brien,"Counter({'New York': 0.77, 'Ireland': 0.54, nan: 0.51, 'Vermont': 0.33, 'Canada': 0.28, 'Germany': 0.25, 'France': 0.24, 'England': 0.2, 'Scotland': 0.15, 'Maine': 0.09})",New York,0.77,Annie,,,,W 22 St. 503,"(nan, nan)",,
474,486,10986,2270,1910,Trow,826.0,Restaurant,Ockendon William T,35 W 19 St.  ,Manhattan,New York,New York,35,W,19,St.,,,35 W 19 St.  ,,,Ockendon,,,,William,"Counter({'New York': 0.28, 'Switzerland': 0.26, 'South Carolina': 0.23, 'Texas': 0.21, 'Michigan': 0.21, 'Virginia': 0.2, 'Kentucky': 0.2, 'West Virginia': 0.18, 'Georgia': 0.17, 'Alabama': 0.17, nan: 0.15, 'Germany': 0.13, 'Maryland': 0.13, 'Florida': 0.13, 'New Jersey': 0.13, 'England': 0.12, 'Ireland': 0.11, 'US': 0.11, 'Pennsylvania': 0.1, 'Scotland': 0.09, 'Denmark': 0.09, 'West Indies': 0.08, 'Massachusetts': 0.08, 'Wales': 0.07, 'Connecticut': 0.07, 'Canada': 0.06, 'Turkey': 0.06, 'DC': 0.06, 'Russia': 0.05, 'North Carolina': 0.05, 'Italy': 0.04, 'Sweden': 0.04, 'Austria': 0.04, 'Hungary': 0.04, 'Other': 0.04, 'Finland': 0.04, 'Ohio': 0.03, 'Delaware': 0.03, 'Belgium': 0.01, 'Barbados': 0.01})",New York,0.28,W 19 St. 35,"(nan, nan)",,
475,439,10439,223,1910,Trow,826.0,Restaurant,Billy the Oysterman,35 W 19 St.  ,Manhattan,New York,New York,35,W,19,St.,,,35 W 19 St.  ,,,Billy,"Counter({'Germany': 0.64, 'Hungary': 0.62, 'Austria': 0.5})",Germany,0.64,the,,,,W 19 St. 35,"(nan, nan)",,
476,493,10993,2277,1910,Trow,826.0,Restaurant,Ohl Martin,431 W 40 St.  ,Manhattan,New York,New York,431,W,40,St.,,,431 W 40 St.  ,,,Ohl,"Counter({'Germany': 0.9, 'New York': 0.69})",Germany,0.9,Martin,,,,W 40 St. 431,"(nan, nan)",,
477,496,10996,2280,1910,Trow,826.0,Restaurant,Olembeck Joseph,253 W 116 St.  ,Manhattan,New York,New York,253,W,116,St.,,,253 W 116 St.  ,,,Olembeck,,,,Joseph,"Counter({'Russia': 0.61, 'Portugal': 0.57, 'Romania': 0.43, 'West Indies': 0.39, 'Italy': 0.32, 'Kentucky': 0.3, 'France': 0.25, 'England': 0.23, 'Illinois': 0.2, 'Hungary': 0.18, 'Ohio': 0.16, 'New York': 0.14, 'Austria': 0.1, 'Germany': 0.07, 'Turkey': 0.05, 'Virginia': 0.05, 'Spain': 0.03, 'North Carolina': 0.03, 'Palestine': 0.03, 'Syria': 0.02, 'Ireland': 0.02, 'Poland': 0.02, 'Serbia': 0.0})",Russia,0.61,W 116 St. 253,"(nan, nan)",,
478,5,11005,2289,1910,Trow,826.0,Restaurant,O'Neill & Bristol Restaurant Co,67 W 23 St.  ,Manhattan,New York,New York,67,W,23,St.,,,67 W 23 St.  ,,,O'Neill,"Counter({'New York': 0.82, 'Ireland': 0.65, 'Vermont': 0.4, 'Pennsylvania': 0.3, 'Illinois': 0.29, 'England': 0.24})",New York,0.82,&,,,,W 23 St. 67,"(nan, nan)",,
479,30,14530,,1925.0,Philips,876.0,Chinese Restaurant,Young Jong,67 W 23 St.,,New York,New York,67,W,23,St.,,,,,,Young,"Counter({'New York': 0.33, 'Missouri': 0.32, 'Georgia': 0.3, 'Switzerland': 0.29, 'South Carolina': 0.27, 'West Indies': 0.19, 'France': 0.19, 'Ireland': 0.18, 'Virginia': 0.18, 'California': 0.17, 'Germany': 0.15, 'US': 0.15, 'Wales': 0.15, 'Louisiana': 0.14, 'Maine': 0.13, 'Pennsylvania': 0.12, 'Russia': 0.11, 'Austria': 0.11, 'England': 0.1, 'Canada': 0.1, 'Scotland': 0.09, 'Maryland': 0.09, 'New Jersey': 0.09, nan: 0.09, 'Tennessee': 0.09, 'Massachusetts': 0.08, 'Rhode Island': 0.08, 'Newfoundland': 0.08, 'China': 0.07, 'North Carolina': 0.07, 'Connecticut': 0.05, 'Michigan': 0.05, 'Holland': 0.04, 'Italy': 0.04, 'Ohio': 0.04, 'DC': 0.04, 'Wisconsin': 0.04, 'West Virginia': 0.03, 'Hungary': 0.03, 'Illinois': 0.03, 'Mississippi': 0.02, 'Florida': 0.02, 'Sweden': 0.01, 'Vermont': 0.01, 'Bermuda': 0.0})",New York,0.33,Jong,,,,W 23 St. 67,"(nan, nan)",,
480,15,11015,2299,1910,Trow,826.0,Restaurant,O'Reilly Mark T. Co,501 W 145 St.  ,Manhattan,New York,New York,501,W,145,St.,,,501 W 145 St.  ,,,O'Reilly,"Counter({'Ireland': 0.95, 'Scotland': 0.45, 'New York': 0.16, 'Massachusetts': 0.11})",Ireland,0.95,Mark,,,,W 145 St. 501,"(nan, nan)",,
481,134,7134,,1920.0,Phillip's,1191.0,,X. L. Lunch,501 W 145 St.,,New York,New York,501,W,145,St.,,,,,,X.,,,,L.,,,,W 145 St. 501,"(nan, nan)",,
482,21,11021,2305,1910,Trow,826.0,Chinese Restaurant,Oriental Tea Parlor,203 W 23 St.  ,Manhattan,New York,New York,203,W,23,St.,,,203 W 23 St.  ,,,Oriental,,,,Tea,,,,W 23 St. 203,"(nan, nan)",,
483,415,1915,,1925.0,Philips,872.0,,Migliore Italian Restaurant,203 W 23 St.,,New York,New York,203,W,23,St.,,,,,,Migliore,Counter({'Italy': 1.0}),Italy,1.0,Italian,,,,W 23 St. 203,"(nan, nan)",,
484,154,7154,,1920.0,Phillip's,1191.0,,Zervas A.,203 W 23 St.,,New York,New York,203,W,23,St.,,,,,,Zervas,Counter({'Greece': 1.0}),Greece,1.0,A.,,,,W 23 St. 203,"(nan, nan)",,
485,25,11025,2309,1910,Trow,826.0,Restaurant,Ornstein Max,250 W 47 St.  ,Manhattan,New York,New York,250,W,47,St.,,,250 W 47 St.  ,,,Ornstein,"Counter({'Hungary': 0.89, 'Austria': 0.87, 'Romania': 0.41, 'Russia': 0.21})",Hungary,0.89,Max,,,,W 47 St. 250,"(nan, nan)",,
486,30,11030,2314,1910,Trow,826.0,Restaurant,Oxford Inn,53 W 25 St.  ,Manhattan,New York,New York,53,W,25,St.,,,53 W 25 St.  ,,,Oxford,"Counter({'England': 0.89, 'New York': 0.53, 'Ireland': 0.19})",England,0.89,Inn,,,,W 25 St. 53,"(nan, nan)",,
487,31,11031,2315,1910,Trow,826.0,Restaurant,Pace Alexaner & John Greco,347 E 12 St.  ,Manhattan,New York,New York,347,E,12,St.,,,347 E 12 St.  ,,,Pace,"Counter({'Italy': 0.83, 'New York': 0.62, 'Ireland': 0.57, 'Connecticut': 0.29, 'Tennessee': 0.23, 'Germany': 0.14, 'Scotland': 0.13})",Italy,0.83,Alexaner,,,,E 12 St. 347,"(nan, nan)",,
488,36,11036,2320,1910,Trow,826.0,Restaurant,Pagano Giovanni B.,357 E 138 St.  ,Manhattan,New York,New York,357,E,138,St.,,,357 E 138 St.  ,,,Pagano,Counter({'Italy': 1.0}),Italy,1.0,Giovanni,,,,E 138 St. 357,"(nan, nan)",,
489,37,11037,2321,1910,Trow,826.0,Restaurant,Pagoda Louis,629 W 24 St.  ,Manhattan,New York,New York,629,W,24,St.,,,629 W 24 St.  ,,,Pagoda,,,,Louis,"Counter({'Russia': 0.59, 'Greece': 0.35, 'New York': 0.32, 'Maryland': 0.31, 'West Indies': 0.26, 'France': 0.22, 'Ohio': 0.21, 'Nova Scotia': 0.21, 'Cuba': 0.18, 'New Hampshire': 0.14, 'Italy': 0.12, 'Connecticut': 0.12, 'Finland': 0.11, 'US': 0.11, 'Hungary': 0.1, 'Norway': 0.1, 'Austria': 0.1, 'Massachusetts': 0.09, 'Germany': 0.08, 'Ireland': 0.07, 'China': 0.03, 'Pennsylvania': 0.03, 'England': 0.02, 'Turkey': 0.01, 'Georgia': 0.01, 'Switzerland': 0.01})",Russia,0.59,W 24 St. 629,"(nan, nan)",,
490,55,11055,2339,1910,Trow,826.0,Restaurant,Pappalexopoulos & Phocas,106 W 28 St.  ,Manhattan,New York,New York,106,W,28,St.,,,106 W 28 St.  ,,,Pappalexopoulos,,,,&,,,,W 28 St. 106,"(nan, nan)",,
491,58,11058,2342,1910,Trow,826.0,Restaurant,Parga Joseph,296 W 10 St.  ,Manhattan,New York,New York,296,W,10,St.,,,296 W 10 St.  ,,,Parga,"Counter({'Italy': 0.94, 'Spain': 0.4})",Italy,0.94,Joseph,,,,W 10 St. 296,"(nan, nan)",,
492,75,11075,2359,1910,Trow,826.0,Restaurant,Payne Samuel,198 W 134 St.  ,Manhattan,New York,New York,198,W,134,St.,,,198 W 134 St.  ,,,Payne,"Counter({'Ireland': 0.48, 'Maine': 0.35, 'Virginia': 0.33, 'West Indies': 0.27, nan: 0.25, 'Georgia': 0.24, 'Maryland': 0.22, 'New York': 0.18, 'England': 0.15, 'Canada': 0.11, 'Hungary': 0.11, 'Ohio': 0.11, 'Mississippi': 0.1, 'Greece': 0.09, 'Connecticut': 0.08, 'Rhode Island': 0.05, 'DC': 0.05, 'Arkansas': 0.04, 'Pennsylvania': 0.03, 'Germany': 0.03, 'Michigan': 0.03})",Ireland,0.48,Samuel,,,,W 134 St. 198,"(nan, nan)",,
493,89,11089,2373,1910,Trow,826.0,Restaurant,People's Bakery & Lunch Room,22 W Houston St.  ,Manhattan,New York,New York,22,W,Houston,St.,,,22 W Houston St.  ,,,People's,,,,Bakery,,,,W Houston St. 22,"(nan, nan)",,
494,90,11090,2374,1910,Trow,826.0,Restaurant,Pepe Pasquale,314 E 12 St.  ,Manhattan,New York,New York,314,E,12,St.,,,314 E 12 St.  ,,,Pepe,"Counter({'Italy': 0.98, 'New York': 0.75, nan: 0.37})",Italy,0.98,Pasquale,,,,E 12 St. 314,"(nan, nan)",,
495,47,7047,,1920.0,Phillip's,1190.0,,Vitti J.,314 E 12 St.,,New York,New York,314,E,12,St.,,,,,,Vitti,Counter({'Italy': 1.0}),Italy,1.0,J.,,,,E 12 St. 314,"(nan, nan)",,
496,91,14591,,1925.0,Philips,873.0,,Peruginni & Rossa,314 E 12 St.,,New York,New York,314,E,12,St.,,,,,,Peruginni,,,,&,,,,E 12 St. 314,"(nan, nan)",,
497,91,11091,2375,1910,Trow,826.0,Restaurant,Pepperling Charles,400 W 37 St.  ,Manhattan,New York,New York,400,W,37,St.,,,400 W 37 St.  ,,,Pepperling,"Counter({'Germany': 0.83, 'New York': 0.55})",Germany,0.83,Charles,,,,W 37 St. 400,"(nan, nan)",,
498,87,14587,,1925.0,Philips,873.0,,Pepperling Charles,400 W 37 St.,,New York,New York,400,W,37,St.,,,,,,Pepperling,"Counter({'Germany': 0.83, 'New York': 0.55})",Germany,0.83,Charles,,,,W 37 St. 400,"(nan, nan)",,
499,100,11100,2384,1910,Trow,826.0,Restaurant,Perlman David,31 W 17 St.  ,Manhattan,New York,New York,31,W,17,St.,,,31 W 17 St.  ,,,Perlman,"Counter({'Russia': 0.86, 'Turkey': 0.79, 'Hungary': 0.72, 'Romania': 0.39, 'Austria': 0.37, 'Germany': 0.02})",Russia,0.86,David,,,,W 17 St. 31,"(nan, nan)",,
500,209,2709,,1920.0,Phillip's,1184.0,,Feildenberg J.,31 W 17 St.,,New York,New York,31,W,17,St.,,,,,,Feildenberg,,,,J.,,,,W 17 St. 31,"(nan, nan)",,
501,104,11104,2388,1910,Trow,826.0,Restaurant,Perlus Aaron,116 W 116 St.  ,Manhattan,New York,New York,116,W,116,St.,,,116 W 116 St.  ,,,Perlus,,,,Aaron,"Counter({'Germany': 0.74, 'Hungary': 0.53, 'Russia': 0.45, 'Virginia': 0.42, 'Italy': 0.31, 'Ireland': 0.24, 'Austria': 0.21, 'Romania': 0.17, 'New York': 0.11})",Germany,0.74,W 116 St. 116,"(nan, nan)",,
502,109,11109,2393,1910,Trow,826.0,Restaurant,Pesce Ernesto,230 E 111 St.  ,Manhattan,New York,New York,230,E,111,St.,,,230 E 111 St.  ,,,Pesce,"Counter({'Italy': 0.98, 'New York': 0.51})",Italy,0.98,Ernesto,,,,E 111 St. 230,"(nan, nan)",,
