DBA,BORO,BUILDING,STREET,ZIPCODE,Latitude,Longitude
LE COUCOU,Manhattan,138,LAFAYETTE STREET,10013.0,40.719076605988995,-73.999953102562
LE PADDOCK,Brooklyn,1235,PROSPECT AVENUE,11218.0,40.652936039332,-73.976109713433
LA CAFETTE,Brooklyn,103,HAVEMEYER STREET,11211.0,40.713235719258996,-73.95649021854399
LE PARISIEN,Manhattan,163,EAST   33 STREET,10016.0,40.745451971938,-73.97953737279
MINETTA TAVERN,Manhattan,113,MACDOUGAL STREET,10012.0,40.729863537155,-74.000609765763
BOBO RESTAURANT,Manhattan,181,WEST   10 STREET,10014.0,40.734290812313,-74.002724283182
CLAUDETTE,Manhattan,24,5 AVENUE,10011.0,40.733003473564,-73.995810819292
JADIS RESTAURANT,Manhattan,42,RIVINGTON STREET,10002.0,40.720887802221,-73.991035129781
ALMOND,Manhattan,12,EAST   22 STREET,10010.0,40.740386432577,-73.988946694333
BAR BOULUD,Manhattan,1900,BROADWAY,10023.0,40.771511149198,-73.982150446461
SANTOS ANNE,Brooklyn,366,UNION AVENUE,11211.0,40.711342431508,-73.951171022732
LE MIDI BISTRO,Manhattan,9,EAST   13 STREET,10003.0,40.735059195229,-73.993512161764
FELIX,Manhattan,340,WEST BROADWAY,10013.0,40.722565148154004,-74.003622115531
LE PAIN QUOTIDIEN,Manhattan,708,3 AVENUE,10017.0,40.752320832940995,-73.973323644879
SAJU BISTRO,Manhattan,120,WEST   44 STREET,10036.0,40.756453675258996,-73.98395204156999
MAISON KAYSER,Manhattan,1294,3 AVENUE,10021.0,40.77126659913,-73.959502890419
JUBILEE,Manhattan,946948,1ST AVE,,0.0,0.0
BRASSERIE COGNAC EAST,Manhattan,963,LEXINGTON AVENUE,10021.0,40.769195515158,-73.963081883583
CHEZ NICK,Manhattan,1737,YORK AVENUE,10128.0,40.778753779513,-73.94506618634699
GABRIEL KREUTHER,Manhattan,37,WEST   42 STREET,10036.0,40.75403528333,-73.982198460074
LA VUE,Brooklyn,3202,EMMONS AVENUE,11235.0,40.584123510263,-73.93277388202401
GALLOW GREEN,Manhattan,530542,WEST   27 STREET,,0.0,0.0
LE PETIT ROOSTER,Manhattan,491,COLUMBUS AVENUE,10024.0,40.784914811178005,-73.973303313477
CHEZ JOSEPHINE,Manhattan,414,WEST   42 STREET,10036.0,40.758705305754,-73.993325757553
LA MAISON DU CROQUE MONSIEUR,Manhattan,17,EAST   13 STREET,10003.0,40.734921938187,-73.993187423102
CAFE CENTRO,Manhattan,200,PARK AVENUE,10017.0,40.754155038895,-73.976556932062
TARTINERY,Manhattan,225,LIBERTY STREET,10280.0,40.711530166285,-74.015672785414
LE GRAINNE CAFE,Manhattan,183,9 AVENUE,10011.0,40.745360454403,-74.002161745447
LE BARRICOU,Brooklyn,533,GRAND STREET,11211.0,40.71106469682,-73.949980896997
MACARON CAFE,Manhattan,152,WEST   36 STREET,10018.0,40.751799117043,-73.988587475219
Le Bernardin Privé/Wine Bar,Manhattan,151,WEST   51 STREET,10019.0,40.761317074103,-73.98184635656901
LA RIPAILLE RESTAURANT,Manhattan,605,HUDSON STREET,10014.0,40.73735385778,-74.005741105387
BARAWINE,Manhattan,27,WEST  120 STREET,10027.0,40.804105052344,-73.946663414044
BRASSERIE COGNAC EAST,Manhattan,963,LEXINGTON AVENUE,10021.0,40.769195515158,-73.963081883583
VIVE LA CREPE,Manhattan,1W,59TH ST,10019.0,40.764589998606,-73.973726638377
DELICE & SARRASIN,Manhattan,20,CHRISTOPHER STREET,10014.0,40.733912065258004,-74.00066031917599
VAUCLUSE,Manhattan,575,PARK AVENUE,10065.0,40.765211634098,-73.968105616032
CAFE DU SOLEIL,Manhattan,245,WEST  104 STREET,10025.0,40.800004290459,-73.968717351713
LAFAYETTE,Manhattan,380,LAFAYETTE STREET,10003.0,40.727489130951,-73.993476822077
PONTY BISTRO,Manhattan,144,WEST  139 STREET,10030.0,40.817590098733,-73.941265795155
VIN SUR VINGT,Manhattan,100,RIVERSIDE BOULEVARD,10069.0,40.776038174704,-73.989684535914
PETIT POULET,Manhattan,52,WEST   33 STREET,10001.0,40.748658964466,-73.987202119545
LE SINGE,Manhattan,160,7 AVENUE,10011.0,40.741954190854,-73.997214053699
MAMAN,Manhattan,239,CENTRE STREET,10013.0,40.720185477997,-73.998199829815
ST. TROPEZ WINE BAR,Manhattan,302,WEST    4 STREET,10014.0,40.736991630990005,-74.003760024616
LE BATEAU IVRE,Manhattan,230,EAST   51 STREET,10022.0,40.756093926255005,-73.969503268632
JEAN CLAUDE FRENCH BISTRO,Manhattan,1343,2 AVENUE,10021.0,40.767926055718,-73.959010338739
LE SINGE,Manhattan,160,7 AVENUE,10011.0,40.741954190854,-73.997214053699
BISTRO VENDOME,Manhattan,405,EAST   58 STREET,10022.0,40.75881175215999,-73.962026422211
THE PANDERING PIG,Manhattan,209,PINEHURST AVENUE,10033.0,40.854546310597,-73.938051947153
CAFE DU SOLEIL,Manhattan,245,WEST  104 STREET,10025.0,40.800004290459,-73.968717351713
GALLOW GREEN,Manhattan,530542,WEST   27 STREET,,0.0,0.0
LE POISSON ROUGE,Manhattan,158,BLEECKER STREET,10012.0,40.728510369282,-73.999888151755
GALLOW GREEN,Manhattan,530542,WEST   27 STREET,,0.0,0.0
LOTTE NEW YORK PALACE -POMME PALAIS,Manhattan,455,MADISON AVENUE,10022.0,40.758107248990996,-73.975393238921
LE CHARLOT,Manhattan,19,EAST   69 STREET,10021.0,40.769751038301,-73.966616010241
AMARANTH,Manhattan,21,EAST   62 STREET,10065.0,40.765612978120004,-73.970379739364
LA VUE,Brooklyn,3202,EMMONS AVENUE,11235.0,40.584123510263,-73.93277388202401
COTE SOLEIL,Queens,5012,SKILLMAN AVE,11377.0,40.746099585801,-73.914084985678
ALMOND,Manhattan,12,EAST   22 STREET,10010.0,40.740386432577,-73.988946694333
LE PAIN QUOTIDIEN,Manhattan,937,2 AVENUE,10022.0,40.754682895288,-73.968670138519
ART HOUSE RESTAURANT,Brooklyn,2751,OCEAN AVENUE,11229.0,40.594150986609,-73.950407280026
BALTHAZAR RESTAURANT,Manhattan,80,SPRING STREET,10012.0,40.72270242812,-73.998109569261
LE PAIN QUOTIDIEN,Manhattan,NKA,CENTRAL PARK,10000.0,40.782288655442,-73.965194214016
CHOKOLAT PATISSERIE,Manhattan,3111,BROADWAY,10027.0,40.812816942241,-73.960391497006
AMELIE,Manhattan,22,WEST    8 STREET,10011.0,40.732630229695,-73.99727578497
AIR FRANCE LOUNGE,Queens,0,INTAIRP ARVL BLDG,,0.0,0.0
BATARD,Manhattan,239,WEST BROADWAY,10013.0,40.71964461807,-74.00595963310701
CHOKOLAT PATISSERIE,Manhattan,3111,BROADWAY,10027.0,40.812816942241,-73.960391497006
VIVE LA CREPE!,Manhattan,51,SPRING STREET,10012.0,40.722046390765,-73.99649335778301
FELIX,Manhattan,340,WEST BROADWAY,10013.0,40.722565148154004,-74.003622115531
LUCIEN RESTAURAUNT,Manhattan,14,1 AVENUE,10009.0,40.723407253161,-73.988310952975
THE LITTLE PRINCE,Manhattan,199,PRINCE STREET,10012.0,40.726701535462,-74.002756442922
TRIX,Brooklyn,145,BEDFORD AVENUE,11211.0,40.719010693384,-73.956439536567
MAMAN,Manhattan,239,CENTRE STREET,10013.0,40.720185477997,-73.998199829815
ATRIUM DUMBO,Brooklyn,15,MAIN STREET,11201.0,40.703595726117,-73.990655158805
VIVE LA CREPE!,Manhattan,51,SPRING STREET,10012.0,40.722046390765,-73.99649335778301
L'AILE OU LA CUISSE (L'A.O.C),Manhattan,314,BLEECKER STREET,10014.0,40.732816838629,-74.003932983749
L'AILE OU LA CUISSE (L'A.O.C),Manhattan,314,BLEECKER STREET,10014.0,40.732816838629,-74.003932983749
CHEZ JOSEPHINE,Manhattan,414,WEST   42 STREET,10036.0,40.758705305754,-73.993325757553
JULES BISTRO,Manhattan,65,ST MARKS PLACE,10003.0,40.728018237736,-73.986296887556
CHOKOLAT PATISSERIE,Manhattan,3111,BROADWAY,10027.0,40.812816942241,-73.960391497006
DIRTY FRENCH,Manhattan,180,LUDLOW STREET,10002.0,40.721804220100005,-73.987467046644
L'AVENUE AT SAKS,Manhattan,611,5 AVENUE,10022.0,40.757995161366,-73.977577095311
CHEF ALESS,Manhattan,2100,2 AVENUE,10029.0,40.792066747093,-73.941371463188
AMELIE,Manhattan,22,WEST    8 STREET,10011.0,40.732630229695,-73.99727578497
BOUCHERIE,Manhattan,99,7TH AVE S,10014.0,40.732943121783,-74.003157217731
DEUX AMIS,Manhattan,356,EAST   51 STREET,10022.0,40.754846980725006,-73.966544100803
FINANCIER PATISSERIE,Manhattan,10,LIBERTY STREET,10005.0,40.707633374321,-74.008155141122
AOC EAST,Manhattan,1590,1 AVENUE,10028.0,40.774675000757,-73.950965542193
MATCH 65,Manhattan,29,EAST   65 STREET,10065.0,40.767234604713,-73.968411503201
LE GAMIN,Brooklyn,108,FRANKLIN STREET,11222.0,40.728285592877995,-73.957321017451
JULES BISTRO,Manhattan,65,ST MARKS PLACE,10003.0,40.728018237736,-73.986296887556
AMARANTH,Manhattan,21,EAST   62 STREET,10065.0,40.765612978120004,-73.970379739364
CAFE DU SOLEIL,Manhattan,245,WEST  104 STREET,10025.0,40.800004290459,-73.968717351713
LE GIGOT,Manhattan,18,CORNELIA STREET,10014.0,40.731510382828,-74.001861816213
LA VRAIE RACLETTE,Manhattan,511,EAST   12 STREET,10009.0,40.728871072395,-73.980805293559
L'AILE OU LA CUISSE (L'A.O.C),Manhattan,314,BLEECKER STREET,10014.0,40.732816838629,-74.003932983749
