DBA,BORO,BUILDING,STREET,ZIPCODE,Latitude,Longitude
FAMILY COFFEE SHOP,Bronx,219,WEST  230 STREET,10463.0,40.877262765071,-73.90705869728501
PRINTON 56,Manhattan,50,WEST   56 STREET,10019.0,40.762954637093,-73.976077318569
J & JOE DELI & GROCERY,Queens,8239,164 STREET,11432.0,40.718233361666,-73.80367883007
CAFE 86,Manhattan,2350,BROADWAY,10024.0,40.788000661474,-73.97674719843701
BROOKLYN BAGEL & COFFEE COMPANY,Queens,3614,30TH AVE,11103.0,40.764911717603,-73.91719409554901
STAGE STAR DELI,Manhattan,105,WEST   55 STREET,10019.0,40.763199408659,-73.978546398084
CAPRI IV DELI,Bronx,2073,BARTOW AVENUE,10475.0,40.869519165018,-73.82787143194
BONAFIDE CAFE & DELI,Brooklyn,118,KANE STREET,11231.0,40.687091788582,-73.999426684455
CAFE OLIVIERO,Manhattan,850,7 AVENUE,10019.0,40.763935467821,-73.981192242009
COLUMBUS AVE DELI & CAFE,Manhattan,556,COLUMBUS AVENUE,10024.0,40.787058094262,-73.97176408253
ELIM BISTRO,Manhattan,11,PARK PLACE,10007.0,40.712820978699,-74.008296457327
BLAKE & TODD,Manhattan,7,WEST   47 STREET,10036.0,40.756919518444,-73.97918370977
AMERICAN NEW YORK BAGEL,Queens,8619,NORTHERN BLVD,11372.0,40.755979041904,-73.881391745069
BAGELS ON THE LANE,Staten Island,166,NEW DORP LANE,10306.0,40.573355883767,-74.115205062911
NEW MAURICE DELI,Queens,5904,55TH DR,11378.0,40.726044925415,-73.908713558003
GOTHAM CAFE,Manhattan,1298,2 AVENUE,10065.0,40.766386634056,-73.960108750534
DELICO,Manhattan,765,2 AVENUE,10017.0,40.749059927649,-73.97277275952699
MAX'S DELI & COFFEE SHOP,Brooklyn,2623,ATLANTIC AVENUE,11207.0,40.675693588245004,-73.897523885758
CROSSBAY DELI & GRILL,Queens,10510,CROSSBAY BLVD,11417.0,40.679797716788,-73.844479012184
FRIENDS GOURMET DELI,Queens,24505,JERICHO TPKE,11426.0,40.724834895352004,-73.722746693841
ELIM BISTRO,Manhattan,11,PARK PLACE,10007.0,40.712820978699,-74.008296457327
FOOD FAIR DELI & PIZZA,Manhattan,433,WEST   34 STREET,10001.0,40.753984491178,-73.997726082422
BREAD & BUTTER,Manhattan,25,WEST   56 STREET,10019.0,40.762729442799,-73.975488991143
Big E's Deli,Staten Island,180,WEST SERVICE ROAD,10314.0,40.588025239804004,-74.193661455357
BAKER'S DOZEN,Brooklyn,788,MANHATTAN AVENUE,11222.0,40.72754004214,-73.95292700681401
RIO CONVENIENCE STORE,Brooklyn,3715,14 AVENUE,11218.0,40.640344210924,-73.982974774483
BAGEL MARKET,Brooklyn,106,7 AVENUE,11215.0,40.674089963658,-73.97572357618
DYKER PARK BAGELS,Brooklyn,713,86 STREET,11228.0,40.618673385958,-74.021547451245
PRINTON 56,Manhattan,50,WEST   56 STREET,10019.0,40.762954637093,-73.976077318569
GLORY DELI & GROCERY,Queens,4630,VERNON BOULEVARD,11101.0,40.746026062837,-73.953007727654
BERGER'S ON THE GO,Manhattan,2,EAST   39 STREET,10016.0,40.751463418295,-73.982040342735
HAMILTON DELI,Manhattan,1129,AMSTERDAM AVENUE,10025.0,40.806468652252,-73.961291127399
ONE DELI RESTAURANT,Brooklyn,536,3 AVENUE,11215.0,40.669140741465995,-73.992963461702
SUNSET RIDGE DELI,Brooklyn,5802,5 AVENUE,11220.0,40.640531128259,-74.015083131073
ZEREGA LITTLE VIENNA DELI,Bronx,1130,ZEREGA AVENUE,10462.0,40.831407601911,-73.844589426555
CAFE ALICE,Manhattan,5,EAST   47 STREET,10017.0,40.756474672107004,-73.978133476518
BROOKLYN'S BEST,Brooklyn,23,HILLEL PLACE,11210.0,40.632480942097004,-73.948202597213
PARK DELI,Brooklyn,209,NASSAU AVENUE,11222.0,40.725639526907,-73.9442659006
A.M. DELI JUICE BAR FOOD,Manhattan,308,EAST  116 STREET,10029.0,40.796760828471,-73.937235503061
BEACH CAFE,Brooklyn,2001,ORIENTAL BOULEVARD,11235.0,40.578489686497996,-73.93489989999401
MODERN GOURMET,Manhattan,793,BROADWAY,10003.0,40.732089219481004,-73.991380004408
GOURMET 45,Manhattan,721,3 AVENUE,10017.0,40.752776379499004,-73.972966138331
GREEN CAFE,Manhattan,36,EAST   58 STREET,10022.0,40.762827353403004,-73.97158307108499
DELI & GRILL,Brooklyn,5425,5 AVENUE,11220.0,40.642672332573,-74.012827920755
STAR LITE DELI,Manhattan,212,WEST   44 STREET,10036.0,40.757524458576,-73.986492930854
LENZ'S,Manhattan,514,EAST   20 STREET,10009.0,40.733769833227,-73.977274965551
BREAD & BUTTER,Manhattan,419,PARK AVENUE SOUTH,10016.0,40.743792060616,-73.983720528685
MAMMA ROSA'S,Bronx,1007,ALLERTON AVENUE,10469.0,40.865493191577,-73.85844711348001
GOURMET PARK,Manhattan,119,EAST   60 STREET,10022.0,40.763188856654,-73.968500066847
TRIBECA BAGELS,Manhattan,374,CANAL STREET,10013.0,40.721071972867996,-74.004260579913
PLEROMA,Manhattan,220,EAST   42 STREET,10017.0,40.750248522834,-73.973255903313
HELLO DELI,Manhattan,213,WEST   53 STREET,10019.0,40.763455421128,-73.983026211498
CHARLIE'S SANDWICH SHOP & SALUMERIA,Brooklyn,9216,3 AVENUE,11209.0,40.618887514387005,-74.032937233594
ELIM BISTRO,Manhattan,11,PARK PLACE,10007.0,40.712820978699,-74.008296457327
GOURMET DELI,Manhattan,341,7 AVENUE,10001.0,40.747934837338,-73.992832398988
STROKOS GOURMET DELI,Manhattan,1090,AMSTERDAM AVENUE,10025.0,40.805220105453,-73.962231023705
MOTT HAVEN BAGEL & BARISTA CAFE,Bronx,221,EAST  138 STREET,10451.0,40.811989053716005,-73.92847148603599
ELIM BISTRO,Manhattan,11,PARK PLACE,10007.0,40.712820978699,-74.008296457327
2 GOOD DELI GRILL,Bronx,1103A,CASTLE HILL AVENUE,10472.0,40.829851023298,-73.850562627632
LA BAGEL DELIGHT,Brooklyn,90,COURT STREET,11201.0,40.69113179499,-73.991681009986
PRINTON 56,Manhattan,50,WEST   56 STREET,10019.0,40.762954637093,-73.976077318569
MEERA DELI,Queens,11-57,44 DRIVE,11101.0,40.748475545398996,-73.949274190035
REDWOOD DELI,Queens,11818,QUEENS BLVD,11375.0,40.714948969759,-73.832023716625
ANDREW & FRANK'S DELI,Queens,28-02,23 AVENUE,11105.0,40.775455058048,-73.914444127789
DISH FOOD & EVENTS,Brooklyn,190,NORTH   14 STREET,11249.0,40.722998546798,-73.955672085693
BEACH CAFE,Brooklyn,2001,ORIENTAL BOULEVARD,11235.0,40.578489686497996,-73.93489989999401
