DBA,BORO,BUILDING,STREET,ZIPCODE,Latitude,Longitude
FIORE 227,Staten Island,227,MANSION AVENUE,10308.0,40.542935212547995,-74.142158657274
BAR TOTO,Brooklyn,411,11 STREET,11215.0,40.666622948887,-73.984503620897
GRADISCA RESTAURANT,Manhattan,126,WEST   13 STREET,10011.0,40.737057554352,-73.99830040945
TRE GIOVANI,Manhattan,548,LAGUARDIA PLACE,10012.0,40.728804047051,-73.998325876931
FONTANAS,Brooklyn,2359,RALPH AVENUE,11234.0,40.62051204567,-73.917355915542
ARIA,Manhattan,117,PERRY STREET,10014.0,40.735053697447,-74.006632172242
GRAPE AND GRAIN,Manhattan,620,EAST    6 STREET,10009.0,40.724059469498,-73.980640727506
THE ORIGINAL VINCENT'S ESTABLISH 1904,Manhattan,119,MOTT STREET,10013.0,40.717706933005,-73.99721507113699
ANCHOR WINEBAR,Manhattan,3508,BROADWAY,10031.0,40.825414508934,-73.95117371114999
CENT'ANNI,Brooklyn,742,FRANKLIN AVENUE,11238.0,40.67305247529,-73.957114963475
JOANNE TRATTORIA,Manhattan,70,WEST   68 STREET,10023.0,40.774505300857,-73.979875019758
DA NICO RESTAURANT,Manhattan,164,MULBERRY STREET,10013.0,40.719823145948,-73.997092326151
ANTONUCCI,Manhattan,168,EAST   81 STREET,10028.0,40.775904359811,-73.957091798192
IL COLOSSEO,Brooklyn,7704,18 AVENUE,11214.0,40.612112600006,-73.99728072208
SUPPER,Manhattan,156,EAST    2 STREET,10009.0,40.722767360588,-73.985179585669
SERAFINA,Manhattan,7,9 AVENUE,10014.0,40.739596297046,-74.006358371758
TAVERNA ON THE BAY,Staten Island,661,BAY STREET,10304.0,40.625940870443,-74.075200980134
BARILLA RESTAURANTS,Manhattan,1290,AVENUE OF THE AMERICAS,10119.0,40.760850108553,-73.979716722068
PALMA,Manhattan,28,CORNELIA STREET,10014.0,40.731411566573,-74.00213242586
LA LOCANDA RESTAURANT,Brooklyn,432,GRAHAM AVENUE,11211.0,40.717844701623,-73.94491817375301
MONTE'S,Manhattan,97,MACDOUGAL STREET,10012.0,40.72944358561,-74.00096335165
RUCOLA,Brooklyn,190,DEAN STREET,11217.0,40.68577344604,-73.986020753074
ITALIANA CREMOSA PIZZERIA & RESTAURANT,Queens,11011,101ST AVE,11419.0,40.687851807882,-73.83340475498
DIVINO'S,Queens,16402,CROSSBAY BLVD,11414.0,40.650529003163,-73.837747168067
LENA'S ITALIAN KITCHEN,Manhattan,551,2 AVENUE,10016.0,40.742528413467,-73.97747405769499
RIVER DELI,Brooklyn,2834,COLUMBIA PLACE,,0.0,0.0
IL BACCO RISTORANTE,Queens,253-24,NORTHERN BOULEVARD,11362.0,40.770894383727004,-73.735287834587
MAX RESTAURANT,Manhattan,134,WEST BROADWAY,10013.0,40.716759724808,-74.008253661066
EMILIA'S RESTAURANT,Bronx,2331,ARTHUR AVENUE,10458.0,40.854124949148,-73.888803624285
NOODLE PUDDING,Brooklyn,38-40,HENRY ST,11201.0,40.699764120356,-73.991903528333
PATSY'S ITALIAN RESTAURANT,Manhattan,236,WEST   56 STREET,10019.0,40.765618195284,-73.98239751366
DA FRANCESCO,Brooklyn,442,GRAHAM AVENUE,11211.0,40.718292135071,-73.944993559069
ROSEMARY'S,Manhattan,1820,GREENWICH AVENUE,,0.0,0.0
ARTICHOKE BASILLE'S PIZZA,Brooklyn,59,5 AVENUE,11217.0,40.681001639419996,-73.977336281993
OSTERIA AL DODGE,Manhattan,142,WEST   44 STREET,10036.0,40.756626652392995,-73.984367096463
CAFFE NAPOLI,Manhattan,191,HESTER STREET,10013.0,40.718115916207,-73.997803067196
MARCHIS RESTAURANT,Manhattan,251,EAST   31 STREET,10016.0,40.743332794963,-73.97833629118101
CIBO E VINO,Manhattan,2418,BROADWAY,10024.0,40.790105535432,-73.975078012621
SANT AMBROEUS,Manhattan,259,WEST    4 STREET,10014.0,40.735287147851,-74.00325836376099
SANT AMBROEUS,Manhattan,265,LAFAYETTE STREET,10012.0,40.723525823098996,-73.99659068853799
AZALEA,Manhattan,224,WEST   51 STREET,10019.0,40.762272593084,-73.984163614929
ARMONIE,Manhattan,1649,PARK AVENUE,10035.0,40.799665009978,-73.942950360672
CAFFE E VINO,Brooklyn,112,DEKALB AVENUE,11201.0,40.689801546598,-73.978162637622
BOTTEGA RESTAURANT,Manhattan,1331,2 AVENUE,10021.0,40.76763244395,-73.959227128297
BAR ITALIA,Manhattan,768,MADISON AVENUE,10065.0,40.767824704469,-73.968328188871
LA VILLETTA,Manhattan,398,EAST   52 STREET,10022.0,40.754980991097,-73.964927000774
BENITO ONE,Manhattan,174,MULBERRY STREET,10013.0,40.720237601521,-73.996926360317
THE COPPOLA CAFE,Manhattan,171,WEST    4 STREET,10014.0,40.732185599832,-74.001537096462
VINNY'S OF CARROLL GARDEN RESTAURANT & LUNCHEONETT,Brooklyn,295,SMITH STREET,11231.0,40.681920462011,-73.993704836374
BUCA DI BEPPO,Brooklyn,1540,BROADWAY,11221.0,40.686254343051,-73.916401538662
GIGINO AT WAGNER PARK,Manhattan,20,BATTERY PLACE,10004.0,40.704945203678996,-74.017467381633
FERDINANDO'S RESTAURANT,Brooklyn,151,UNION STREET,11231.0,40.684124670454004,-74.002062401532
MILK AND ROSES,Brooklyn,1110,MANHATTAN AVENUE,11222.0,40.736373631764,-73.95526261691
ROSEMARY'S,Manhattan,1820,GREENWICH AVENUE,,0.0,0.0
IL BAMBINO,Queens,3408,31 AVENUE,11106.0,40.763108295413,-73.920921753695
MARIO'S RESTAURANT,Bronx,2342,ARTHUR AVENUE,10458.0,40.85420993779,-73.888702265689
CAFETAL SOCIAL CLUB/CHACHIS,Manhattan,285,MOTT STREET,10012.0,40.72415703468,-73.99442599334
YN,Manhattan,227,MOTT STREET,10012.0,40.722411396362,-73.995162105898
PAPPARDELLA,Manhattan,316,COLUMBUS AVENUE,10023.0,40.779220343889,-73.977479651186
RIBALTA MO',Manhattan,2,PENN PLZ,10121.0,40.750009774218,-73.991345194031
AURORA SOHO,Manhattan,510,BROOME STREET,10013.0,40.723512101492,-74.003333548296
SERAFINA 105,Manhattan,2735-2737,BROADWAY,10025.0,40.800292305005,-73.968049011784
SOUTH FIN GRILL/THE VANDERBILT,Staten Island,300,FATHER CAPODANNO BOULEVA,,0.0,0.0
CENTRE PIZZA,Queens,25425,HORACE HARDING EXPRESS,,0.0,0.0
QUARTINO BOTTEGA ORGANICA,Manhattan,11,BLEECKER STREET,10012.0,40.725400325567,-73.992834832006
TARALLUCCI E VINO,Manhattan,44,EAST   28 STREET,10016.0,40.743770299196,-73.985171286714
LAURA'S PIZZA,Bronx,3073,BAILEY AVENUE,10463.0,40.877544714923,-73.902823815109
SARAGHINA RESTAURANT,Brooklyn,435,HALSEY STREET,11233.0,40.683447848896996,-73.935593869677
DAVIO'S NORTHERN ITALIAN STEAKHOUSE,Manhattan,447,LEXINGTON AVENUE,10017.0,40.753043052802,-73.97486454354801
PICCOLA CUCINA,Manhattan,75,THOMPSON STREET,10012.0,40.724500228078,-74.002947564389
CASA LEVER,Manhattan,390,PARK AVENUE,10022.0,40.759413063897,-73.972360616364
BETTOLONA,Manhattan,3143,BROADWAY,10027.0,40.813985907279,-73.95954182352
LA RIVISTA RESTAURANT,Manhattan,313,WEST   46 STREET,10036.0,40.760074567147996,-73.988589661552
TRATTORIA 35,Queens,213-15,35 AVENUE,11361.0,40.768883330714004,-73.77422844815099
SISTINA,Manhattan,24,EAST   81 STREET,10028.0,40.777797086427995,-73.961582271089
MISIRIZZI,Manhattan,36,EAST    4 STREET,10003.0,40.727420436211,-73.992260950127
BOTTEGA RESTAURANT,Manhattan,1331,2 AVENUE,10021.0,40.76763244395,-73.959227128297
MASSONI,Manhattan,11,EAST   31 STREET,10016.0,40.746199409843996,-73.985141872193
Sergimmo Salumeria,Queens,15039,14TH AVE,11357.0,40.789066396356,-73.812844119408
VAPIANO,Manhattan,113,UNIVERSITY PLACE,10003.0,40.734367445652,-73.992390039906
GARGIULO'S RESTAURANT,Brooklyn,2911,WEST   15 STREET,11224.0,40.576555331866004,-73.982584323148
PRINCI,Manhattan,1633,BROADWAY,10019.0,40.76156716221,-73.983961634192
PIZZA DADDY,Brooklyn,6422,BAY PARKWAY,11204.0,40.614260224092,-73.981007661365
IL BASTARDO,Manhattan,544,WEST   27 STREET,10001.0,40.750847186703,-74.003890741683
BOCCA DI BACCO,Manhattan,635,NINTH AVENUE,10036.0,40.760148919682,-73.991387188228
BELLA VIA,Queens,4746,VERNON BOULEVARD,11101.0,40.744541348252,-73.953503195484
PARM RESTAURANT,Manhattan,250,VESEY STREET,10281.0,40.714521963959,-74.015677098865
ATTRAVERSA,Manhattan,14,BEDFORD STREET,10014.0,40.729072993129996,-74.003492581242
CANLON'S RESTAURANT,Staten Island,1825,NORTH RAILROAD AVENUE,10306.0,40.565128564811,-74.12670451087901
DANIELA TRATTORIA,Manhattan,728,8 AVENUE,10036.0,40.759319725048,-73.988257700502
LAURA'S PIZZA,Bronx,3073,BAILEY AVENUE,10463.0,40.877544714923,-73.902823815109
SCOTTADITO,Brooklyn,788,UNION STREET,11215.0,40.674850426731,-73.976491183303
BAROSA BRICK OVEN,Queens,62-29,WOODHAVEN BOULEVARD,11374.0,40.726026934763,-73.870123742695
BAR TOTO,Brooklyn,411,11 STREET,11215.0,40.666622948887,-73.984503620897
LA NONNA RISTORANTE BAR ENOTECA,Brooklyn,184,KENT AVENUE,11249.0,40.718483480375,-73.963698098788
LA RIVISTA RESTAURANT,Manhattan,313,WEST   46 STREET,10036.0,40.760074567147996,-73.988589661552
CAFFE NAPOLI,Manhattan,191,HESTER STREET,10013.0,40.718115916207,-73.997803067196
FRANK'S PIZZERIA/DA FRANCO AND TONY RESTAURANT,Bronx,2823,MIDDLETOWN ROAD,10461.0,40.843477461476,-73.83561217911999
TRUFA RESTAURANT,Manhattan,3431,BROADWAY,10031.0,40.823046530641996,-73.95293144818001
