street_name,odd_on,avg_direction,building_num_range,start_end_coordinates,segment_length,segment_direction,building_num_range_length,avg_length_per_building,direction_deviation,road_type,offset_from_road_center
W 109th Street,right,118.9334354601831,"[288, 343]","[[40.801216, -73.96152], [40.800608, -73.960112]]",136.66189707690117,119.60696819253891,56,2.440391019230378,-0.6735327323557954,Street,5
W 109th Street,right,118.9334354601831,"[344, 399]","[[40.800608, -73.960112], [40.800048, -73.958688]]",135.30712972347146,117.36124947277673,56,2.4161987450619904,1.5721859874063853,Street,5
W 10th Street,right,119.14829349114234,"[1, 71]","[[40.735376, -73.998608], [40.734032, -73.99544]]",306.41225766999474,119.14829349114233,71,4.315665600985842,0.0,Street,5
W 10th Street,right,80.4884740367119,"[72, 85]","[[40.7352, -73.999968], [40.735256, -73.999641]]",28.313386955641324,77.31204517212923,14,2.022384782545809,3.1764288645826753,Street,5
W 10th Street,right,80.4884740367119,"[86, 109]","[[40.735256, -73.999641], [40.735469, -73.99907]]",53.720466313450174,63.87646638596591,24,2.238352763060424,16.612007650745994,Street,5
W 10th Street,right,80.4884740367119,"[110, 127]","[[40.735469, -73.99907], [40.735376, -73.998608]]",40.368869645733206,104.82257765669033,18,2.2427149803185116,-24.334103619978407,Street,5
W 10th Street,right,78.3156572020787,"[128, 158]","[[40.734752, -74.002816], [40.734976, -74.001248]]",134.7667704373417,79.36298134044048,31,4.347315175398119,-1.0473241383617733,Street,5
W 10th Street,right,78.3156572020787,"[159, 182]","[[40.734976, -74.001248], [40.7352, -73.999968]]",110.94755281275748,77.04348410632514,24,4.622814700531562,1.2721730957535442,Street,5
W 10th Street,right,79.01693965842597,"[183, 218]","[[40.734256, -74.006176], [40.734528, -74.004464]]",147.73684974476583,78.20195131319441,36,4.103801381799051,0.8149883452315407,Street,5
W 10th Street,right,79.01693965842597,"[219, 252]","[[40.734528, -74.004464], [40.734752, -74.002816]]",141.41433375144075,79.86836544751776,34,4.159245110336492,-0.8514257890917918,Street,5
W 10th Street,right,79.21268228612679,"[253, 265]","[[40.734096, -74.00728], [40.734256, -74.006176]]",94.93492936332086,79.21268228612679,13,7.302686874101605,0.0,Street,5
W 10th Street,right,77.12152828399323,"[266, 280]","[[40.733904, -74.008384], [40.734096, -74.00728]]",95.66395535739821,77.12152828399323,15,6.377597023826548,0.0,Street,5
W 10th Street,right,80.66836424245184,"[281, 287]","[[40.733696, -74.010048], [40.733728, -74.009632]]",35.31993800400856,84.22553116413278,7,5.04570542914408,-3.557166921680931,Street,5
W 10th Street,right,80.66836424245184,"[288, 307]","[[40.733728, -74.009632], [40.733904, -74.008384]]",107.21841337500895,79.49656071366577,20,5.360920668750447,1.1718035287860857,Street,5
W 110th Street,right,119.15261002823596,"[1, 41]","[[40.80479, -73.968058], [40.80424, -73.966752]]",125.99807050790582,118.99567155677522,41,3.073123670924532,0.1569384714607338,Street,5
W 110th Street,right,119.15261002823596,"[42, 128]","[[40.80424, -73.966752], [40.802981, -73.963902]]",278.18258783704425,120.17064325994622,87,3.1975010096211984,-1.0180332317102625,Street,5
W 110th Street,right,119.15261002823596,"[129, 213]","[[40.802981, -73.963902], [40.801849, -73.961067]]",270.2510726483676,117.71934311759307,85,3.1794243840984424,1.4332669106428853,Street,5
W 110th Street,right,119.15261002823596,"[214, 256]","[[40.801849, -73.961067], [40.801232, -73.959664]]",136.79211347592596,120.05848641639258,43,3.1812119413006035,-0.9058763881566279,Street,5
W 110th Street,right,119.15261002823596,"[257, 299]","[[40.801232, -73.959664], [40.800704, -73.958208]]",136.14215510820057,115.51058698615807,43,3.166096630423269,3.6420230420778807,Street,5
W 111th Street,right,119.17118888539385,"[1, 44]","[[40.805456, -73.967712], [40.804848, -73.966288]]",137.83077921541638,119.33124952339416,44,3.1325177094412813,-0.1600606380003171,Street,5
W 111th Street,right,119.17118888539385,"[45, 130]","[[40.804848, -73.966288], [40.803586, -73.96345]]",277.4738680983931,120.33543841168432,86,3.226440326725501,-1.1642495262904617,Street,5
W 111th Street,right,119.17118888539385,"[131, 205]","[[40.803586, -73.96345], [40.802571, -73.96094]]",239.93101616697598,118.01948405651586,75,3.19908021555968,1.151704828877996,Street,5
W 111th Street,right,119.17118888539385,"[206, 257]","[[40.802571, -73.96094], [40.80184, -73.9592]]",167.77793899278,118.93590654201773,52,3.2264988267842307,0.2352823433761273,Street,5
W 111th Street,right,119.17118888539385,"[258, 299]","[[40.80184, -73.9592], [40.801248, -73.957792]]",135.79186507237773,118.9553791580359,42,3.2331396445804224,0.21580972735796422,Street,5
W 112th Street,right,119.62242303832953,"[1, 48]","[[40.806112, -73.967456], [40.805552, -73.965792]]",153.56628765149082,113.8880294607449,48,3.1992976594060587,5.734393577584626,Street,5
W 112th Street,right,119.62242303832953,"[49, 133]","[[40.805552, -73.965792], [40.804336, -73.96289]]",279.6436166014754,118.87334307319924,85,3.289924901193828,0.7490799651303064,Street,5
W 112th Street,right,119.62242303832953,"[134, 197]","[[40.804336, -73.96289], [40.803373, -73.960765]]",208.78396873889164,120.81046362463815,64,3.262249511545182,-1.1880405863086025,Street,5
W 112th Street,right,119.62242303832953,"[198, 257]","[[40.803373, -73.960765], [40.802512, -73.958704]]",198.46799425531822,118.79980475708088,60,3.3077999042553037,0.8226182812486513,Street,5
