DBA,BORO,BUILDING,STREET,ZIPCODE,Latitude,Longitude
DJ REYNOLDS PUB AND RESTAURANT,Manhattan,351,WEST   57 STREET,10019.0,40.767325711553,-73.984310423617
BLARNEY STONE,Manhattan,11,TRINITY PLACE,10006.0,40.706523941132005,-74.013846556301
GRACE'S,Manhattan,252,WEST   14 STREET,10011.0,40.739162794682,-74.00116918217499
MAGGIE REILLY'S,Manhattan,340,9 AVENUE,10001.0,40.750537083057,-73.99836502992
MCFADDEN'S,Manhattan,800,2 AVENUE,10017.0,40.750278379373995,-73.971851915755
THE LIBERTY,Manhattan,29,WEST   35 STREET,10001.0,40.749602930192,-73.985267430574
GABBY O'HARA'S,Manhattan,123,WEST   39 STREET,10018.0,40.753404587174,-73.98660205029199
CASSIDY'S PUB,Manhattan,65,WEST   55 STREET,10019.0,40.762493679864,-73.976868043238
JOHN SULLIVAN'S PUB,Manhattan,210,WEST   35 STREET,10001.0,40.751909103574,-73.990767461497
THE FULL SHILLING,Manhattan,160,PEARL STREET,10005.0,40.705761471205,-74.007718491839
THE PERFECT PINT,Manhattan,123,WEST   45 STREET,10036.0,40.757139811436,-73.983572871335
GRANDSTAND TAVERN,Queens,8535,GRAND AVENUE,11373.0,40.735667344671,-73.88096616528001
O'HANLON'S BAR,Manhattan,349,EAST   14 STREET,10003.0,40.731536585101,-73.98299468347
MCGETTIGANS,Manhattan,70,WEST   36 STREET,10018.0,40.750736616924,-73.986072034139
5TH & MAD,Manhattan,7,EAST   36 STREET,10016.0,40.749506564548,-73.983098353126
THE PARLOUR,Manhattan,250,WEST   86 STREET,10024.0,40.788483777016,-73.97694203766999
BARROW'S PUB,Manhattan,463,HUDSON STREET,10014.0,40.731499225499,-74.00666068247
COURTSIDE LOUNGE SPORTS BAR,Queens,6908,MYRTLE AVENUE,11385.0,40.701795688443,-73.882473107878
CRONIN & PHELAN PUB & RESTAURANT,Queens,38-14,BROADWAY,11103.0,40.759275747151996,-73.91967737124
THE WICKED WOLF,Bronx,4029,EAST TREMONT AVENUE,10465.0,40.819584636257,-73.817545148322
KEANE'S BAR & RESTAURANT,Bronx,4342,KATONAH AVENUE,10470.0,40.900062984423,-73.867640883899
MAXWELL'S,Manhattan,59,READE STREET,10007.0,40.714901634235,-74.006413723204
THE DUBLINER,Manhattan,45,STONE STREET,10004.0,40.704331239244,-74.010340392303
JACK DOYLES PUB & RESTAURANT,Manhattan,240,WEST   35 STREET,10001.0,40.752164413748005,-73.991377396662
THE IRISH PUB,Manhattan,837,7 AVENUE,10019.0,40.763441465991995,-73.981528103445
PIG 'N' WHISTLE,Manhattan,58,WEST   48 STREET,10036.0,40.758182301396,-73.980280638523
THE IRISH PUB,Manhattan,837,7 AVENUE,10019.0,40.763441465991995,-73.981528103445
